PW ,SW,MW,RA
7.81,-1.5992842109717205,3.3306690738754696e-16,1
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,1
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,1
7.81,-1.5992842109717205,3.3306690738754696e-16,0
7.81,-1.5992842109717205,3.3306690738754696e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.81,-1.5992842109717205,3.3306690738754696e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.81,-1.5992842109717205,3.3306690738754696e-16,0
7.81,-1.5992842109717205,3.3306690738754696e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.81,-1.5992842109717205,3.3306690738754696e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.81,-1.5992842109717205,3.3306690738754696e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.41,0.08972881711722423,-6.661338147750939e-16,0
7.41,0.08972881711722423,3.3306690738754696e-16,0
7.49,0.9764606568639203,3.3306690738754696e-16,0
7.81,-1.5992842109717205,3.3306690738754696e-16,0
